weight[g],pwm,vbat[V],rpm1,rpm2,rpm3,rpm4,v[V],i[A],p[W]
0.0,0,3.874,0,0,0,0,3.903,0.189,0.657
0.0,0,3.874,0,0,0,0,3.904,0.189,0.687
0.0,15000,3.874,0,0,0,0,3.903,0.2,0.687
0.0,15000,3.874,0,0,0,0,3.815,0.187,0.657
0.0,15000,3.874,2808,0,0,0,3.807,0.404,1.463
0.0,15000,3.784,2808,598,0,0,3.809,0.758,2.837
0.0,15000,3.768,2808,598,4216,508,3.809,0.761,2.867
0.0,15000,3.768,1812,598,4216,508,3.811,0.745,2.807
-0.329733669757843,15000,3.774,1812,846,2249,753,3.812,0.736,2.748
-0.329733669757843,15000,3.774,1247,1603,2249,753,3.814,0.716,2.688
-0.329733669757843,15000,3.774,1878,1603,1743,1723,3.813,0.717,2.688
-0.329733669757843,15000,3.774,2275,2079,2177,2162,3.815,0.715,2.688
-0.329733669757843,15000,3.774,2588,2434,2515,2495,3.815,0.706,2.658
-0.329733669757843,15000,3.774,2857,2723,2798,2778,3.816,0.697,2.628
-0.329733669757843,15000,3.774,3093,2975,3043,3022,3.817,0.699,2.628
-0.329733669757843,15000,3.774,3305,3400,3262,3241,3.816,0.681,2.568
-0.329733669757843,15000,3.779,3495,3584,3643,3438,3.817,0.693,2.598
-0.329733669757843,15000,3.779,3673,3754,3812,3786,3.818,0.692,2.598
-0.306019127368927,15000,3.779,3992,3913,3969,3941,3.82,0.679,2.538
-0.306019127368927,15000,3.779,4135,4199,4256,4227,3.817,0.68,2.538
-0.306019127368927,15000,3.779,4401,4330,4386,4357,3.819,0.682,2.568
-0.306019127368927,15000,3.779,4524,4575,4631,4598,3.82,0.675,2.538
-0.306019127368927,15000,3.779,4751,4687,4743,4710,3.818,0.675,2.509
-0.306019127368927,15000,3.779,4959,4896,4954,4914,3.822,0.666,2.509
-0.306019127368927,15000,3.779,5055,5090,5146,5108,3.822,0.672,2.509
-0.306019127368927,15000,3.779,5238,5267,5326,5195,3.82,0.669,2.509
-0.306019127368927,15000,3.779,5410,5352,5410,5365,3.82,0.668,2.509
-0.306019127368927,15000,3.779,5569,5511,5570,5522,3.82,0.677,2.538
0.056379083544015884,15000,3.784,5718,5660,5718,5670,3.823,0.668,2.509
0.056379083544015884,15000,3.784,5855,5801,5859,5807,3.822,0.665,2.509
0.056379083544015884,15000,3.784,5987,5934,5991,5938,3.823,0.655,2.449
0.056379083544015884,15000,3.784,6112,6058,6114,6059,3.824,0.651,2.449
0.056379083544015884,15000,3.784,6226,6175,6231,6176,3.822,0.655,2.449
0.056379083544015884,15000,3.784,6340,6286,6395,6285,3.824,0.654,2.449
0.056379083544015884,15000,3.784,6441,6390,6494,6388,3.823,0.652,2.449
0.056379083544015884,15000,3.784,6540,6536,6591,6487,3.823,0.647,2.419
0.056379083544015884,15000,3.784,6635,6628,6684,6618,3.821,0.644,2.419
0.056379083544015884,15000,3.784,6765,6715,6772,6709,3.823,0.634,2.389
1.026003122329712,15000,3.784,6847,6798,6898,6793,3.825,0.646,2.419
1.026003122329712,15000,3.784,6927,6913,6971,6872,3.823,0.65,2.449
1.026003122329712,15000,3.784,7033,6988,7048,6975,3.823,0.646,2.449
1.026003122329712,15000,3.784,7108,7060,7154,7052,3.823,0.655,2.449
1.026003122329712,15000,3.784,7169,7159,7221,7117,3.822,0.658,2.479
1.026003122329712,15000,3.784,7264,7224,7315,7204,3.823,0.652,2.449
1.026003122329712,15000,3.784,7321,7315,7376,7272,3.826,0.652,2.449
1.026003122329712,15000,3.784,7403,7371,7459,7351,3.824,0.632,2.359
1.026003122329712,15000,3.784,7459,7451,7515,7410,3.826,0.644,2.419
1.026003122329712,15000,3.784,7534,7502,7591,7485,3.825,0.636,2.389
2.2187440395355225,15000,3.79,7583,7575,7639,7534,3.825,0.633,2.389
2.2187440395355225,15000,3.784,7652,7621,7709,7598,3.825,0.637,2.389
2.2187440395355225,15000,3.79,7696,7687,7753,7645,3.825,0.625,2.359
2.2187440395355225,15000,3.79,7759,7732,7815,7708,3.826,0.628,2.359
2.2187440395355225,15000,3.784,7818,7787,7855,7747,3.826,0.63,2.359
2.2187440395355225,15000,3.79,7859,7850,7912,7795,3.826,0.625,2.359
2.2187440395355225,15000,3.79,7911,7885,7969,7860,3.824,0.634,2.389
2.2187440395355225,15000,3.79,7941,7937,8001,7893,3.824,0.637,2.389
2.2187440395355225,15000,3.79,7990,7971,8050,7941,3.826,0.637,2.389
2.2187440395355225,15000,3.79,8035,8018,8098,7984,3.825,0.627,2.359
3.3774163722991943,15000,3.79,8068,8062,8142,8016,3.826,0.621,2.329
3.3774163722991943,15000,3.79,8111,8102,8172,8058,3.826,0.621,2.329
3.3774163722991943,15000,3.784,8155,8134,8211,8096,3.826,0.623,2.329
